,linkID,link,title,section,author,frontPageDate,postedDate
47,47,https://www.nairaland.com/5903642/reopening-churches-mosques-abuja-fcta,Reopening Of Churches &amp Mosques In Abuja: FCTA Releases Guidelines,Religion,etokhana,2020-06-04 18:26:00,2020-06-04 17:49:00
48,48,https://www.nairaland.com/5903457/lagos-directs-civil-servants-level,Lagos Directs Civil Servants From Level 13 To Resume On Monday,Career,oshozondii,2020-06-04 18:19:00,2020-06-04 16:25:00
49,49,https://www.nairaland.com/5903566/lagos-decide-reopening-schools-two,Lagos To Decide Reopening Of Schools In Two Weeks,Education,iwaeda,2020-06-04 18:11:00,2020-06-04 17:15:00
50,50,https://www.nairaland.com/5900420/getting-married,"""I'm AS And I Am Getting Married To AS Because Of Too Much Love""",Health,bigmodo,2020-06-04 17:41:00,2020-06-03 11:35:00
51,51,https://www.nairaland.com/5903485/married-man-faints-after-sex,Married Man Faints After Sex With Married Lover In Lagos,Romance,Made4naijalove,2020-06-04 17:25:00,2020-06-04 16:37:00
52,52,https://www.nairaland.com/5903433/churches-mosques-resume-services-lagos,Churches &amp Mosques To Resume Services In Lagos As Sanwo-Olu Isues Guidelines,Religion,fergie001,2020-06-04 16:53:00,2020-06-04 16:14:00
53,53,https://www.nairaland.com/5903322/man-beats-baby-mother-because,Man Beats Baby &amp Mother Because The Child Cries And Disturbs His Sleep (Video),Crime,etcsines,2020-06-04 16:39:00,2020-06-04 15:29:00
54,54,https://www.nairaland.com/5903297/obaseki-appoints-stewart-efe-new,Resignation: Obaseki Appoints New Communications Commissioner (Photo),Politics,BleedingPen,2020-06-04 16:00:00,2020-06-04 15:15:00
55,55,https://www.nairaland.com/5903381/edo-governorship-primaries-pdp-unveils,Edo Governorship Primaries: PDP Unveils Screening Committee,Politics,powerfulguy,2020-06-04 15:57:00,2020-06-04 15:52:00
56,56,https://www.nairaland.com/5902595/strange-snake-killed-morning,"""The 'Strange' Snake We Killed This Morning""",Science/Technology,Depressed101,2020-06-04 15:28:00,2020-06-04 10:16:00
57,57,https://www.nairaland.com/5903185/land-tussle-abba-community-protests,Land Tussle: Chimamanda's Community Protests At Anambra Government House (Pics),Politics,Prettyvirginia,2020-06-04 15:24:00,2020-06-04 14:26:00
58,58,https://www.nairaland.com/5903054/paul-ohonbamu-resigns-obasekis-commissioner,Obaseki’s Commissioner Resigns Ahead Of Edo Governorship Election,Politics,BleedingPen,2020-06-04 15:11:00,2020-06-04 13:34:00
59,59,https://www.nairaland.com/5903132/reps-reject-castration-punishment-rapists,Reps Reject Castration As Punishment For Rapists,Crime,ContractKiller,2020-06-04 14:56:00,2020-06-04 14:04:00
60,60,https://www.nairaland.com/5902981/peruzzi-apologises-rape-tweet-2012,"""I Can’t Forgive Myself, I'm Ashamed"" - Peruzzi Apologises For His 2012 Rape Tweets",Crime,ElajRita,2020-06-04 14:28:00,2020-06-04 13:01:00
61,61,https://www.nairaland.com/5903012/nuc-lists-universities-approved-postgraduate,NUC Lists Universities Approved For Postgraduate Programmes (Full List),Education,oshozondii,2020-06-04 14:10:00,2020-06-04 13:14:00
62,62,https://www.nairaland.com/5902791/certificate-forgery-governor-obaseki-dragged,"Governor Obaseki Dragged To Court Over Certificate Forgery, Perjury",Politics,bolaayenimo,2020-06-04 13:50:00,2020-06-04 11:44:00
63,63,https://www.nairaland.com/5903032/2-chinese-expatriates-kidnapped-ebonyi,2 Chinese Expatriates Kidnapped In Ebonyi State,Crime,fergie006,2020-06-04 13:45:00,2020-06-04 13:25:00
64,64,https://www.nairaland.com/5903032/2-chinese-expatriates-kidnapped-ebonyi,2 Chinese Expatriates Kidnapped In Ebonyi State,Crime,fergie006,2020-06-04 13:45:00,2020-06-04 13:25:00
65,65,https://www.nairaland.com/5897164/not-music-these-nigerian-artistes,"""If Not For Music, These Nigerian Artistes Would Be Fashion Stars""",Celebrities,CraftParty,2020-06-04 13:38:00,2020-06-01 21:57:00
66,66,https://www.nairaland.com/5902986/state-osun-does-not-exist,State Of Osun Does Not Exist - Court,Politics,Nemere2020,2020-06-04 13:17:00,2020-06-04 13:03:00
67,67,https://www.nairaland.com/5902923/uwaila-omozuwa-protest-rocks-benin,"Happening Now: Protest Rocks Benin Over Rape, Murder Of UNIBEN Student, Uwa (Pics)",Crime,BleedingPen,2020-06-04 12:57:00,2020-06-04 12:42:00
68,68,https://www.nairaland.com/5902812/novare-tenants-get-4-month-free,Novare Tenants Get 4-Month Free Rent In Abuja And Lagos,Properties,dre11,2020-06-04 12:54:00,2020-06-04 11:52:00
69,69,https://www.nairaland.com/5902856/man-rapes-70-year-old-woman-ogun,"Man Rapes 70-Year-Old Woman In Ogun, Blames Alcohol",Crime,Tunex252,2020-06-04 12:49:00,2020-06-04 12:13:00
70,70,https://www.nairaland.com/5902871/senate-panel-uncovers-missing-3.3bn,Senate Panel Uncovers Missing $3.3 Billion In Foreign Tax,Politics,Islie,2020-06-04 12:30:00,2020-06-04 12:17:00
71,71,https://www.nairaland.com/5901815/348-new-covid-19-cases-90,"348 New Covid-19 Cases, 90 Discharged And 1 Death On June 3 - (1535 Tested)",Health,Kwanza,2020-06-04 12:29:00,2020-06-03 23:49:00
